trainset: 100 / 646 | 8.174321 updates/s | train_loss: 173.994629
trainset: 200 / 646 | 8.342682 updates/s | train_loss: 119.705406
trainset: 300 / 646 | 8.012541 updates/s | train_loss: 96.062683
trainset: 400 / 646 | 8.350738 updates/s | train_loss: 83.305649
trainset: 500 / 646 | 8.255431 updates/s | train_loss: 78.701790
trainset: 600 / 646 | 8.341852 updates/s | train_loss: 76.254944
trainset: 700 / 646 | 8.220916 updates/s | train_loss: 75.061470
trainset: 800 / 646 | 8.406393 updates/s | train_loss: 73.622520
trainset: 900 / 646 | 8.087560 updates/s | train_loss: 72.189316
trainset: 1000 / 646 | 8.167891 updates/s | train_loss: 71.746429
trainset: 1100 / 646 | 8.264821 updates/s | train_loss: 71.390266
trainset: 1200 / 646 | 7.869835 updates/s | train_loss: 70.174461
trainset: 1300 / 646 | 7.966675 updates/s | train_loss: 69.981049
trainset: 1400 / 646 | 8.302775 updates/s | train_loss: 69.217964
trainset: 1500 / 646 | 8.385188 updates/s | train_loss: 68.166618
trainset: 1600 / 646 | 8.079900 updates/s | train_loss: 68.749115
trainset: 1700 / 646 | 8.246784 updates/s | train_loss: 67.661537
trainset: 1800 / 646 | 8.242286 updates/s | train_loss: 67.096878
trainset: 1900 / 646 | 8.064964 updates/s | train_loss: 65.917931
trainset: 2000 / 646 | 8.230513 updates/s | train_loss: 66.066360
trainset: 2100 / 646 | 8.176834 updates/s | train_loss: 65.615028
trainset: 2200 / 646 | 7.964447 updates/s | train_loss: 64.927475
trainset: 2300 / 646 | 8.084082 updates/s | train_loss: 63.754047
trainset: 2400 / 646 | 8.065499 updates/s | train_loss: 63.062302
trainset: 2500 / 646 | 8.362562 updates/s | train_loss: 62.068253
trainset: 2600 / 646 | 8.129727 updates/s | train_loss: 62.500977
trainset: 2700 / 646 | 8.134622 updates/s | train_loss: 62.359764
trainset: 2800 / 646 | 8.035619 updates/s | train_loss: 60.595840
trainset: 2900 / 646 | 8.279800 updates/s | train_loss: 59.847492
trainset: 3000 / 646 | 8.251024 updates/s | train_loss: 59.973404
trainset: 3100 / 646 | 8.206313 updates/s | train_loss: 59.164951
trainset: 3200 / 646 | 8.199951 updates/s | train_loss: 58.412224
Correctly solved: 3, out of: 2272
Almost correctly solved: 1025, out of: 2272
trainset: 3300 / 646 | 6.172198 updates/s | train_loss: 57.583992
trainset: 3400 / 646 | 8.090312 updates/s | train_loss: 57.512920
trainset: 3500 / 646 | 7.998580 updates/s | train_loss: 57.344738
trainset: 3600 / 646 | 8.191773 updates/s | train_loss: 56.567940
trainset: 3700 / 646 | 8.340153 updates/s | train_loss: 56.160156
trainset: 3800 / 646 | 8.331286 updates/s | train_loss: 55.321159
trainset: 3900 / 646 | 8.260753 updates/s | train_loss: 55.284397
trainset: 4000 / 646 | 8.374420 updates/s | train_loss: 55.145161
trainset: 4100 / 646 | 8.058265 updates/s | train_loss: 57.039082
trainset: 4200 / 646 | 8.026284 updates/s | train_loss: 54.353374
trainset: 4300 / 646 | 8.244992 updates/s | train_loss: 53.472645
trainset: 4400 / 646 | 8.302680 updates/s | train_loss: 53.462185
trainset: 4500 / 646 | 8.396064 updates/s | train_loss: 53.479210
trainset: 4600 / 646 | 8.240814 updates/s | train_loss: 52.007980
trainset: 4700 / 646 | 7.997352 updates/s | train_loss: 52.266758
trainset: 4800 / 646 | 7.831387 updates/s | train_loss: 52.742062
trainset: 4900 / 646 | 8.071472 updates/s | train_loss: 51.405548
trainset: 5000 / 646 | 8.370630 updates/s | train_loss: 51.427742
trainset: 5100 / 646 | 8.498017 updates/s | train_loss: 51.043980
trainset: 5200 / 646 | 8.408030 updates/s | train_loss: 50.828392
trainset: 5300 / 646 | 8.338500 updates/s | train_loss: 50.286564
trainset: 5400 / 646 | 7.866757 updates/s | train_loss: 49.687656
trainset: 5500 / 646 | 8.165531 updates/s | train_loss: 49.414272
trainset: 5600 / 646 | 8.078047 updates/s | train_loss: 50.685905
trainset: 5700 / 646 | 8.168718 updates/s | train_loss: 49.984509
trainset: 5800 / 646 | 8.078934 updates/s | train_loss: 49.743240
trainset: 5900 / 646 | 8.244520 updates/s | train_loss: 48.505402
trainset: 6000 / 646 | 7.846808 updates/s | train_loss: 48.677872
trainset: 6100 / 646 | 8.186632 updates/s | train_loss: 48.259335
trainset: 6200 / 646 | 8.278236 updates/s | train_loss: 48.494640
trainset: 6300 / 646 | 8.160270 updates/s | train_loss: 47.458637
trainset: 6400 / 646 | 8.221010 updates/s | train_loss: 47.177227
Correctly solved: 18, out of: 2272
Almost correctly solved: 1460, out of: 2272
trainset: 6500 / 646 | 6.383927 updates/s | train_loss: 47.977577
trainset: 6600 / 646 | 7.958299 updates/s | train_loss: 46.632126
trainset: 6700 / 646 | 8.062971 updates/s | train_loss: 46.582661
trainset: 6800 / 646 | 8.175948 updates/s | train_loss: 47.293320
trainset: 6900 / 646 | 8.031483 updates/s | train_loss: 47.253944
trainset: 7000 / 646 | 8.392067 updates/s | train_loss: 45.964886
trainset: 7100 / 646 | 8.175156 updates/s | train_loss: 46.359436
trainset: 7200 / 646 | 8.158976 updates/s | train_loss: 45.943626
trainset: 7300 / 646 | 8.199235 updates/s | train_loss: 45.706848
trainset: 7400 / 646 | 8.343378 updates/s | train_loss: 45.576183
trainset: 7500 / 646 | 8.147207 updates/s | train_loss: 45.245628
trainset: 7600 / 646 | 8.401461 updates/s | train_loss: 46.068573
trainset: 7700 / 646 | 8.275674 updates/s | train_loss: 44.833092
trainset: 7800 / 646 | 8.400390 updates/s | train_loss: 45.469959
trainset: 7900 / 646 | 8.129389 updates/s | train_loss: 44.786922
trainset: 8000 / 646 | 8.375913 updates/s | train_loss: 45.283360
trainset: 8100 / 646 | 8.161321 updates/s | train_loss: 44.142967
trainset: 8200 / 646 | 7.972368 updates/s | train_loss: 44.277431
trainset: 8300 / 646 | 8.329283 updates/s | train_loss: 43.751183
trainset: 8400 / 646 | 8.298362 updates/s | train_loss: 44.066662
trainset: 8500 / 646 | 8.059246 updates/s | train_loss: 44.279114
trainset: 8600 / 646 | 7.843260 updates/s | train_loss: 43.526768
trainset: 8700 / 646 | 8.197818 updates/s | train_loss: 42.845413
trainset: 8800 / 646 | 7.947561 updates/s | train_loss: 43.234947
trainset: 8900 / 646 | 8.193474 updates/s | train_loss: 43.800930
trainset: 9000 / 646 | 8.049136 updates/s | train_loss: 43.246483
trainset: 9100 / 646 | 8.154061 updates/s | train_loss: 43.691097
trainset: 9200 / 646 | 7.948345 updates/s | train_loss: 42.562580
trainset: 9300 / 646 | 8.203384 updates/s | train_loss: 42.581539
trainset: 9400 / 646 | 8.257846 updates/s | train_loss: 42.123558
trainset: 9500 / 646 | 8.284579 updates/s | train_loss: 42.198154
trainset: 9600 / 646 | 8.324315 updates/s | train_loss: 41.899143
Correctly solved: 98, out of: 2272
Almost correctly solved: 1803, out of: 2272
trainset: 9700 / 646 | 6.458366 updates/s | train_loss: 42.119316
trainset: 9800 / 646 | 8.067413 updates/s | train_loss: 41.854908
trainset: 9900 / 646 | 8.020130 updates/s | train_loss: 42.116791
trainset: 10000 / 646 | 8.139756 updates/s | train_loss: 41.051819
trainset: 10100 / 646 | 8.212653 updates/s | train_loss: 41.361927
trainset: 10200 / 646 | 8.014305 updates/s | train_loss: 41.368797
trainset: 10300 / 646 | 7.888324 updates/s | train_loss: 41.220814
trainset: 10400 / 646 | 8.012163 updates/s | train_loss: 40.663719
trainset: 10500 / 646 | 8.139545 updates/s | train_loss: 41.911556
trainset: 10600 / 646 | 8.236865 updates/s | train_loss: 41.010113
trainset: 10700 / 646 | 8.243946 updates/s | train_loss: 41.620762
trainset: 10800 / 646 | 8.236153 updates/s | train_loss: 41.566910
trainset: 10900 / 646 | 8.020032 updates/s | train_loss: 40.934376
trainset: 11000 / 646 | 8.247506 updates/s | train_loss: 41.053921
trainset: 11100 / 646 | 8.377857 updates/s | train_loss: 39.852417
trainset: 11200 / 646 | 8.376588 updates/s | train_loss: 40.733082
trainset: 11300 / 646 | 8.045233 updates/s | train_loss: 40.202671
trainset: 11400 / 646 | 8.004014 updates/s | train_loss: 40.284740
trainset: 11500 / 646 | 8.015438 updates/s | train_loss: 39.941853
trainset: 11600 / 646 | 8.242996 updates/s | train_loss: 40.202858
trainset: 11700 / 646 | 8.384727 updates/s | train_loss: 39.227135
trainset: 11800 / 646 | 7.947117 updates/s | train_loss: 39.711765
trainset: 11900 / 646 | 8.152830 updates/s | train_loss: 39.980495
trainset: 12000 / 646 | 8.249436 updates/s | train_loss: 39.491009
trainset: 12100 / 646 | 8.006239 updates/s | train_loss: 40.873260
trainset: 12200 / 646 | 8.126058 updates/s | train_loss: 39.142193
trainset: 12300 / 646 | 8.106103 updates/s | train_loss: 38.923992
trainset: 12400 / 646 | 8.174180 updates/s | train_loss: 39.107666
trainset: 12500 / 646 | 8.323932 updates/s | train_loss: 38.656685
trainset: 12600 / 646 | 8.046642 updates/s | train_loss: 38.652351
trainset: 12700 / 646 | 8.234967 updates/s | train_loss: 39.319798
trainset: 12800 / 646 | 8.380761 updates/s | train_loss: 39.449024
trainset: 12900 / 646 | 7.840578 updates/s | train_loss: 40.456783
Correctly solved: 121, out of: 2272
Almost correctly solved: 1907, out of: 2272
trainset: 13000 / 646 | 6.195609 updates/s | train_loss: 38.653687
trainset: 13100 / 646 | 7.986274 updates/s | train_loss: 38.124905
trainset: 13200 / 646 | 8.299505 updates/s | train_loss: 38.316216
trainset: 13300 / 646 | 8.133393 updates/s | train_loss: 37.957474
trainset: 13400 / 646 | 8.241864 updates/s | train_loss: 37.678822
trainset: 13500 / 646 | 8.191942 updates/s | train_loss: 38.133183
trainset: 13600 / 646 | 8.369726 updates/s | train_loss: 38.052269
trainset: 13700 / 646 | 8.366706 updates/s | train_loss: 37.616859
trainset: 13800 / 646 | 8.354655 updates/s | train_loss: 38.392834
trainset: 13900 / 646 | 8.301860 updates/s | train_loss: 38.320858
trainset: 14000 / 646 | 8.171586 updates/s | train_loss: 38.119724
trainset: 14100 / 646 | 8.064164 updates/s | train_loss: 37.842346
trainset: 14200 / 646 | 8.162875 updates/s | train_loss: 37.581177
trainset: 14300 / 646 | 8.309614 updates/s | train_loss: 37.343159
trainset: 14400 / 646 | 8.188131 updates/s | train_loss: 36.701172
trainset: 14500 / 646 | 8.215713 updates/s | train_loss: 37.258934
trainset: 14600 / 646 | 8.383805 updates/s | train_loss: 37.934818
trainset: 14700 / 646 | 8.287239 updates/s | train_loss: 37.192646
trainset: 14800 / 646 | 8.102242 updates/s | train_loss: 37.363430
trainset: 14900 / 646 | 8.250434 updates/s | train_loss: 36.717621
trainset: 15000 / 646 | 8.014136 updates/s | train_loss: 36.860767
trainset: 15100 / 646 | 8.307931 updates/s | train_loss: 37.374771
trainset: 15200 / 646 | 8.297300 updates/s | train_loss: 36.511936
trainset: 15300 / 646 | 8.185345 updates/s | train_loss: 37.371147
trainset: 15400 / 646 | 8.045332 updates/s | train_loss: 36.497520
trainset: 15500 / 646 | 8.226781 updates/s | train_loss: 36.434391
trainset: 15600 / 646 | 8.386681 updates/s | train_loss: 36.503021
trainset: 15700 / 646 | 8.254566 updates/s | train_loss: 37.105221
trainset: 15800 / 646 | 8.152060 updates/s | train_loss: 36.603783
trainset: 15900 / 646 | 8.379802 updates/s | train_loss: 36.645359
trainset: 16000 / 646 | 8.272998 updates/s | train_loss: 36.758408
trainset: 16100 / 646 | 8.342125 updates/s | train_loss: 37.582794
Correctly solved: 136, out of: 2272
Almost correctly solved: 1961, out of: 2272
trainset: 16200 / 646 | 6.341857 updates/s | train_loss: 36.139984
trainset: 16300 / 646 | 7.830343 updates/s | train_loss: 36.397739
trainset: 16400 / 646 | 8.330922 updates/s | train_loss: 37.204407
trainset: 16500 / 646 | 8.335340 updates/s | train_loss: 35.879551
trainset: 16600 / 646 | 7.944541 updates/s | train_loss: 35.418911
trainset: 16700 / 646 | 8.169830 updates/s | train_loss: 37.353611
trainset: 16800 / 646 | 8.250028 updates/s | train_loss: 35.699947
trainset: 16900 / 646 | 8.220988 updates/s | train_loss: 35.447044
trainset: 17000 / 646 | 8.357466 updates/s | train_loss: 35.488087
trainset: 17100 / 646 | 8.094773 updates/s | train_loss: 35.447392
trainset: 17200 / 646 | 8.273796 updates/s | train_loss: 35.226337
trainset: 17300 / 646 | 8.390989 updates/s | train_loss: 35.623180
trainset: 17400 / 646 | 8.342895 updates/s | train_loss: 35.749958
trainset: 17500 / 646 | 8.113111 updates/s | train_loss: 35.704189
trainset: 17600 / 646 | 8.455781 updates/s | train_loss: 34.472221
trainset: 17700 / 646 | 8.311962 updates/s | train_loss: 37.602974
trainset: 17800 / 646 | 8.222094 updates/s | train_loss: 35.833347
trainset: 17900 / 646 | 8.210350 updates/s | train_loss: 36.066803
trainset: 18000 / 646 | 8.242242 updates/s | train_loss: 38.287437
trainset: 18100 / 646 | 8.360982 updates/s | train_loss: 34.773605
trainset: 18200 / 646 | 8.198359 updates/s | train_loss: 34.512714
trainset: 18300 / 646 | 8.378039 updates/s | train_loss: 34.348969
trainset: 18400 / 646 | 8.418198 updates/s | train_loss: 35.374783
trainset: 18500 / 646 | 7.962858 updates/s | train_loss: 34.773205
trainset: 18600 / 646 | 8.424731 updates/s | train_loss: 34.327454
trainset: 18700 / 646 | 8.416511 updates/s | train_loss: 35.993641
trainset: 18800 / 646 | 8.232391 updates/s | train_loss: 35.184616
trainset: 18900 / 646 | 8.133057 updates/s | train_loss: 34.638554
trainset: 19000 / 646 | 8.298354 updates/s | train_loss: 35.139786
trainset: 19100 / 646 | 8.358807 updates/s | train_loss: 35.384232
trainset: 19200 / 646 | 8.193305 updates/s | train_loss: 34.341595
trainset: 19300 / 646 | 8.035540 updates/s | train_loss: 34.533501
Correctly solved: 179, out of: 2272
Almost correctly solved: 2033, out of: 2272
trainset: 19400 / 646 | 6.216079 updates/s | train_loss: 33.542690
trainset: 19500 / 646 | 8.380023 updates/s | train_loss: 34.184414
trainset: 19600 / 646 | 8.257494 updates/s | train_loss: 34.328312
trainset: 19700 / 646 | 8.233945 updates/s | train_loss: 33.402164
trainset: 19800 / 646 | 8.134675 updates/s | train_loss: 33.637592
trainset: 19900 / 646 | 8.010487 updates/s | train_loss: 33.612141
trainset: 20000 / 646 | 8.360226 updates/s | train_loss: 33.870869
trainset: 20100 / 646 | 8.091378 updates/s | train_loss: 34.481571
trainset: 20200 / 646 | 8.102196 updates/s | train_loss: 34.601383
trainset: 20300 / 646 | 8.165632 updates/s | train_loss: 34.867401
trainset: 20400 / 646 | 8.279888 updates/s | train_loss: 34.009312
trainset: 20500 / 646 | 8.205221 updates/s | train_loss: 33.234406
trainset: 20600 / 646 | 8.230000 updates/s | train_loss: 33.420570
trainset: 20700 / 646 | 8.139928 updates/s | train_loss: 33.495438
trainset: 20800 / 646 | 8.064408 updates/s | train_loss: 33.782360
trainset: 20900 / 646 | 8.114045 updates/s | train_loss: 33.745663
trainset: 21000 / 646 | 8.395448 updates/s | train_loss: 35.823624
trainset: 21100 / 646 | 7.986702 updates/s | train_loss: 32.982327
trainset: 21200 / 646 | 8.328173 updates/s | train_loss: 33.118752
trainset: 21300 / 646 | 8.255095 updates/s | train_loss: 35.245750
trainset: 21400 / 646 | 8.183173 updates/s | train_loss: 34.309849
trainset: 21500 / 646 | 8.162540 updates/s | train_loss: 33.270451
trainset: 21600 / 646 | 8.457351 updates/s | train_loss: 32.741131
trainset: 21700 / 646 | 8.406140 updates/s | train_loss: 32.922199
trainset: 21800 / 646 | 8.068194 updates/s | train_loss: 32.346561
trainset: 21900 / 646 | 8.158971 updates/s | train_loss: 32.578022
trainset: 22000 / 646 | 8.343024 updates/s | train_loss: 32.665646
trainset: 22100 / 646 | 8.285387 updates/s | train_loss: 33.645271
trainset: 22200 / 646 | 8.361498 updates/s | train_loss: 32.588882
trainset: 22300 / 646 | 8.398061 updates/s | train_loss: 32.563950
trainset: 22400 / 646 | 8.494944 updates/s | train_loss: 32.738213
trainset: 22500 / 646 | 8.405096 updates/s | train_loss: 32.260719
trainset: 22600 / 646 | 7.948405 updates/s | train_loss: 32.454006
Correctly solved: 183, out of: 2272
Almost correctly solved: 2049, out of: 2272
trainset: 22700 / 646 | 6.399073 updates/s | train_loss: 32.902702
trainset: 22800 / 646 | 8.135346 updates/s | train_loss: 34.129425
trainset: 22900 / 646 | 8.141199 updates/s | train_loss: 32.068275
trainset: 23000 / 646 | 8.025408 updates/s | train_loss: 33.374866
trainset: 23100 / 646 | 8.296728 updates/s | train_loss: 32.218719
trainset: 23200 / 646 | 8.140558 updates/s | train_loss: 32.097725
trainset: 23300 / 646 | 7.981365 updates/s | train_loss: 32.649921
trainset: 23400 / 646 | 8.010526 updates/s | train_loss: 32.473042
trainset: 23500 / 646 | 8.055787 updates/s | train_loss: 32.053822
trainset: 23600 / 646 | 7.830035 updates/s | train_loss: 31.834135
trainset: 23700 / 646 | 8.007123 updates/s | train_loss: 31.260916
trainset: 23800 / 646 | 8.084213 updates/s | train_loss: 31.813303
trainset: 23900 / 646 | 8.121584 updates/s | train_loss: 32.204090
trainset: 24000 / 646 | 8.141228 updates/s | train_loss: 31.690208
trainset: 24100 / 646 | 8.022340 updates/s | train_loss: 31.478085
trainset: 24200 / 646 | 8.452197 updates/s | train_loss: 31.293259
trainset: 24300 / 646 | 8.192660 updates/s | train_loss: 31.909269
trainset: 24400 / 646 | 7.940662 updates/s | train_loss: 31.532318
trainset: 24500 / 646 | 8.286423 updates/s | train_loss: 40.350708
trainset: 24600 / 646 | 8.251607 updates/s | train_loss: 33.620975
trainset: 24700 / 646 | 8.371056 updates/s | train_loss: 31.236540
trainset: 24800 / 646 | 8.194176 updates/s | train_loss: 31.401138
trainset: 24900 / 646 | 8.129634 updates/s | train_loss: 31.066427
trainset: 25000 / 646 | 8.139765 updates/s | train_loss: 36.358692
trainset: 25100 / 646 | 8.081895 updates/s | train_loss: 31.674917
trainset: 25200 / 646 | 8.024640 updates/s | train_loss: 31.496511
trainset: 25300 / 646 | 8.149442 updates/s | train_loss: 30.483210
trainset: 25400 / 646 | 8.242568 updates/s | train_loss: 32.014835
trainset: 25500 / 646 | 8.455101 updates/s | train_loss: 32.013363
trainset: 25600 / 646 | 8.297603 updates/s | train_loss: 30.432577
trainset: 25700 / 646 | 8.293693 updates/s | train_loss: 31.696955
trainset: 25800 / 646 | 8.289562 updates/s | train_loss: 31.596485
Correctly solved: 231, out of: 2272
Almost correctly solved: 2073, out of: 2272
trainset: 25900 / 646 | 6.528095 updates/s | train_loss: 31.000463
trainset: 26000 / 646 | 8.309723 updates/s | train_loss: 32.075603
trainset: 26100 / 646 | 8.065055 updates/s | train_loss: 33.391029
trainset: 26200 / 646 | 8.339727 updates/s | train_loss: 30.728203
trainset: 26300 / 646 | 8.223357 updates/s | train_loss: 31.423937
trainset: 26400 / 646 | 8.031774 updates/s | train_loss: 30.533628
trainset: 26500 / 646 | 8.405617 updates/s | train_loss: 31.286470
trainset: 26600 / 646 | 8.092661 updates/s | train_loss: 30.537699
trainset: 26700 / 646 | 8.186373 updates/s | train_loss: 30.985197
trainset: 26800 / 646 | 8.213836 updates/s | train_loss: 30.800514
trainset: 26900 / 646 | 7.985047 updates/s | train_loss: 31.927250
trainset: 27000 / 646 | 7.873834 updates/s | train_loss: 30.103098
trainset: 27100 / 646 | 8.167321 updates/s | train_loss: 29.828781
trainset: 27200 / 646 | 8.140541 updates/s | train_loss: 30.189611
trainset: 27300 / 646 | 8.392562 updates/s | train_loss: 30.017256
trainset: 27400 / 646 | 8.367013 updates/s | train_loss: 29.835009
trainset: 27500 / 646 | 8.367329 updates/s | train_loss: 30.500793
trainset: 27600 / 646 | 8.476790 updates/s | train_loss: 31.354006
trainset: 27700 / 646 | 8.097364 updates/s | train_loss: 31.556456
trainset: 27800 / 646 | 8.208267 updates/s | train_loss: 30.451971
trainset: 27900 / 646 | 8.489387 updates/s | train_loss: 30.014521
trainset: 28000 / 646 | 8.478300 updates/s | train_loss: 29.924028
trainset: 28100 / 646 | 8.286531 updates/s | train_loss: 29.405771
trainset: 28200 / 646 | 8.055489 updates/s | train_loss: 30.181614
trainset: 28300 / 646 | 8.337326 updates/s | train_loss: 30.070772
trainset: 28400 / 646 | 8.320578 updates/s | train_loss: 29.855158
trainset: 28500 / 646 | 8.352820 updates/s | train_loss: 29.454557
trainset: 28600 / 646 | 8.157271 updates/s | train_loss: 29.442883
trainset: 28700 / 646 | 7.914179 updates/s | train_loss: 29.899956
trainset: 28800 / 646 | 8.195774 updates/s | train_loss: 30.247503
trainset: 28900 / 646 | 8.173572 updates/s | train_loss: 30.992435
trainset: 29000 / 646 | 8.203564 updates/s | train_loss: 29.406986
Correctly solved: 180, out of: 2272
Almost correctly solved: 2059, out of: 2272
trainset: 29100 / 646 | 6.161467 updates/s | train_loss: 33.698612
trainset: 29200 / 646 | 8.195811 updates/s | train_loss: 30.403120
trainset: 29300 / 646 | 8.420706 updates/s | train_loss: 29.459494
trainset: 29400 / 646 | 8.417504 updates/s | train_loss: 30.024960
trainset: 29500 / 646 | 8.238593 updates/s | train_loss: 30.419321
trainset: 29600 / 646 | 7.958017 updates/s | train_loss: 29.433281
trainset: 29700 / 646 | 8.123541 updates/s | train_loss: 29.752028
trainset: 29800 / 646 | 7.980495 updates/s | train_loss: 30.020578
trainset: 29900 / 646 | 8.323474 updates/s | train_loss: 28.523512
trainset: 30000 / 646 | 8.187620 updates/s | train_loss: 30.046120
trainset: 30100 / 646 | 8.218698 updates/s | train_loss: 29.494585
trainset: 30200 / 646 | 8.293041 updates/s | train_loss: 29.879971
trainset: 30300 / 646 | 8.338564 updates/s | train_loss: 29.054028
trainset: 30400 / 646 | 8.252761 updates/s | train_loss: 29.209127
trainset: 30500 / 646 | 8.264581 updates/s | train_loss: 29.364449
